# Version 1.00
#
freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S22[dB],
8.000000000000000E+009,-9.195196435320721E+000,-1.009439246320259E+001,-6.166657624291463E+000,
8.050000000000000E+009,-7.679347085253872E+000,-1.069902596351345E+001,-6.167532972684086E+000,
8.100000000000000E+009,-6.728043262809099E+000,-1.134458951660803E+001,-5.808336399268286E+000,
8.150000000000000E+009,-6.197154993138815E+000,-1.185382989114380E+001,-5.576327750511282E+000,
8.200000000000000E+009,-6.615593075010846E+000,-1.168134689468056E+001,-5.849072652641450E+000,
8.250000000000000E+009,-6.802795519172854E+000,-1.139834431689479E+001,-5.867797262804718E+000,
8.300000000000000E+009,-6.469459435827441E+000,-1.152793087544264E+001,-6.246882106060032E+000,
8.350000000000000E+009,-5.780941188806223E+000,-1.246637859570476E+001,-5.555884472116463E+000,
8.400000000000000E+009,-5.448148899221305E+000,-1.312815554936490E+001,-4.946279813037938E+000,
8.450000000000000E+009,-5.044296345019113E+000,-1.424192228055932E+001,-4.579628689897765E+000,
8.500000000000000E+009,-4.866543244868613E+000,-1.344833055733681E+001,-5.489577225984481E+000,
8.550000000000000E+009,-4.898148098031084E+000,-1.245905126581378E+001,-6.537501384751695E+000,
8.600000000000000E+009,-4.991909314444478E+000,-1.212215141561168E+001,-6.803477578945730E+000,
8.650000000000000E+009,-5.391192613658640E+000,-1.119787720968349E+001,-7.128355971523652E+000,
8.700000000000000E+009,-5.875413369733619E+000,-1.078655527551725E+001,-7.816698907225045E+000,
8.750000000000000E+009,-5.650171959144489E+000,-1.152314425386476E+001,-6.755913023673744E+000,
8.800000000000000E+009,-5.371762989331450E+000,-1.289357099811377E+001,-5.042965081114948E+000,
8.850000000000000E+009,-5.279442101565863E+000,-1.338774032136945E+001,-4.822467977293227E+000,
8.900000000000000E+009,-4.887732397967989E+000,-1.483843615648239E+001,-3.860779845632269E+000,
8.950000000000000E+009,-4.355269796802098E+000,-1.670142708169268E+001,-3.120907950276868E+000,
9.000000000000000E+009,-3.298215782623075E+000,-2.637900213798528E+001,-1.107649208613226E+000,
9.050000000000000E+009,-2.947639457262993E+000,-3.667626838729348E+001,-5.490340356510604E-001,
9.100000000000000E+009,-2.609019246008307E+000,-5.443312556049428E+001,-4.805376787464408E-001,
9.150000000000000E+009,-2.528769077270728E+000,-5.507675429508184E+001,-4.278572049552983E-001,
9.200000000000000E+009,-3.199645737784123E+000,-2.725659828787559E+001,-8.426242674281002E-001,
9.250000000000000E+009,-4.589021369770308E+000,-1.889356841717764E+001,-2.052609317994428E+000,
9.300000000000000E+009,-4.796012010153205E+000,-2.103033282217471E+001,-1.537624566521265E+000,
9.350000000000000E+009,-4.561864958044890E+000,-2.268894420925373E+001,-1.186033049344774E+000,
9.400000000000000E+009,-4.310271056374468E+000,-2.402900298467995E+001,-1.057749868246174E+000,
9.450000000000000E+009,-4.306235697848085E+000,-2.211119587004058E+001,-1.587312705481350E+000,
9.500000000000000E+009,-4.624337904059053E+000,-1.763086231385791E+001,-2.526353737712149E+000,
9.550000000000000E+009,-4.923077065557321E+000,-1.564258890032200E+001,-3.733240961183320E+000,
9.600000000000000E+009,-4.885686305524910E+000,-1.469065525053166E+001,-4.429686113970474E+000,
9.650000000000000E+009,-4.879840503808741E+000,-1.484073911920123E+001,-3.811641026103426E+000,
9.700000000000000E+009,-5.089314668192107E+000,-1.627689739245556E+001,-3.042840466261395E+000,
9.750000000000000E+009,-5.272444862871790E+000,-1.733315711288853E+001,-2.516620027139898E+000,
9.800000000000000E+009,-5.173852674624389E+000,-1.845519302136567E+001,-1.741352926270928E+000,
9.850000000000000E+009,-5.203233497913005E+000,-1.871506107260614E+001,-1.778190853558916E+000,
9.900000000000000E+009,-4.915154068088968E+000,-1.787030815070897E+001,-2.092255007471502E+000,
9.950000000000000E+009,-4.529226930785628E+000,-1.653721820479472E+001,-2.615966210456127E+000,
1.000000000000000E+010,-4.577012475216114E+000,-1.382703255205378E+001,-3.444060656678536E+000,
1.005000000000000E+010,-4.458610989903327E+000,-1.236740288337632E+001,-4.437056157232583E+000,
1.010000000000000E+010,-4.370758092501699E+000,-1.237524953287892E+001,-4.654565621509549E+000,
1.015000000000000E+010,-4.598615799252587E+000,-1.223054698389292E+001,-4.750571185818820E+000,
1.020000000000000E+010,-4.700227009654853E+000,-1.344370023233124E+001,-3.913473409270202E+000,
1.025000000000000E+010,-5.005523546989037E+000,-1.352059179335605E+001,-3.540621042304066E+000,
1.030000000000000E+010,-5.543439632170852E+000,-1.318324339971317E+001,-3.890287242554586E+000,
1.035000000000000E+010,-5.554565777282728E+000,-1.328576138600452E+001,-3.766400288007568E+000,
1.040000000000000E+010,-5.271176420738420E+000,-1.264636493552038E+001,-4.343013873151175E+000,
1.045000000000000E+010,-4.649603030798438E+000,-1.208040794939847E+001,-5.084432850403204E+000,
1.050000000000000E+010,-4.118966539256870E+000,-1.201787794849817E+001,-5.503988150013587E+000,
1.055000000000000E+010,-3.821854869600659E+000,-1.226380556715687E+001,-5.700705039938305E+000,
1.060000000000000E+010,-3.567313961384473E+000,-1.232049335194903E+001,-5.967718011629311E+000,
1.065000000000000E+010,-3.656143267475594E+000,-1.241700778601151E+001,-6.166388782690748E+000,
1.070000000000000E+010,-3.920674211685636E+000,-1.192773114390091E+001,-6.476934988960060E+000,
1.075000000000000E+010,-4.346788609388780E+000,-1.188854693456694E+001,-6.016235071546813E+000,
1.080000000000000E+010,-5.083834818803956E+000,-1.095495501749025E+001,-6.859755892490444E+000,
1.085000000000000E+010,-5.466176397400516E+000,-1.070632808592701E+001,-7.018559999754558E+000,
